TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 231307189.05726 231307190.67778 231307192.2983 0 0.0 56.745017305465645 0.0 0.0 0.0
2 231307192.2983 231307193.91882 231307195.53934 0 0.0 56.745017305465645 0.0 0.0 0.0
3 231307195.53934002 231307197.15986001 231307198.78038 0 0.0 56.745017305465645 0.0 0.0 0.0
4 231307198.78038 231307200.4009 231307202.02142 0 0.0 56.745017305465645 0.0 0.0 0.0
5 231307202.02142 231307203.64194 231307205.26246 0 0.0 56.745017305465645 0.0 0.0 0.0
6 231307205.26246 231307206.88298 231307208.50349998 0 0.0 56.745017305465645 0.0 0.0 0.0
7 231307208.5035 231307210.12402 231307211.74454 0 0.0 56.745017305465645 0.0 0.0 0.0
8 231307211.74454 231307213.36506 231307214.98558 0 0.0 56.745017305465645 0.0 0.0 0.0
9 231307214.98558 231307216.6061 231307218.22662 0 0.0 56.745017305465645 0.0 0.0 0.0
10 231307218.22662002 231307219.84714 231307221.46766 0 0.0 56.745017305465645 0.0 0.0 0.0
11 231307221.46766 231307223.08818 231307224.7087 0 0.0 56.745017305465645 0.0 0.0 0.0
12 231307224.7087 231307226.32922 231307227.94974 0 0.0 56.745017305465645 0.0 0.0 0.0
13 231307227.94974 231307229.57026 231307231.19077998 0 0.0 56.745017305465645 0.0 0.0 0.0
14 231307231.19078 231307232.8113 231307234.43182 0 0.0 56.745017305465645 0.0 0.0 0.0
15 231307234.43182 231307236.05234 231307237.67286 0 0.0 56.745017305465645 0.0 0.0 0.0
16 231307237.67286 231307239.29338 231307240.9139 0 0.0 56.745017305465645 0.0 0.0 0.0
17 231307240.91390002 231307242.53442 231307244.15494 0 0.0 56.745017305465645 0.0 0.0 0.0
18 231307244.15494 231307245.77546 231307247.39598 0 0.0 56.745017305465645 0.0 0.0 0.0
19 231307247.39598 231307249.0165 231307250.63702 0 0.0 56.745017305465645 0.0 0.0 0.0
20 231307250.63702 231307252.25754 231307253.87805998 0 0.0 56.745017305465645 0.0 0.0 0.0
21 231307253.87806 231307255.49858 231307257.1191 0 0.0 56.745017305465645 0.0 0.0 0.0
22 231307257.1191 231307258.73962 231307260.36014 0 0.0 56.745017305465645 0.0 0.0 0.0
23 231307260.36014 231307261.98066 231307263.60118 0 0.0 56.745017305465645 0.0 0.0 0.0
24 231307263.60118002 231307265.2217 231307266.84222 0 0.0 56.745017305465645 0.0 0.0 0.0
25 231307266.84222 231307268.46274 231307270.08326 0 0.0 56.745017305465645 0.0 0.0 0.0
26 231307270.08326 231307271.70378 231307273.3243 0 0.0 56.745017305465645 0.0 0.0 0.0
27 231307273.32430002 231307274.94482002 231307276.56534 0 0.0 56.745017305465645 0.0 0.0 0.0
28 231307276.56534 231307278.18586 231307279.80638 0 0.0 56.745017305465645 0.0 0.0 0.0
29 231307279.80638 231307281.4269 231307283.04742 0 0.0 56.745017305465645 0.0 0.0 0.0
30 231307283.04742 231307284.66794 231307286.28846 0 0.0 56.745017305465645 0.0 0.0 0.0
31 231307286.28846002 231307287.90898 231307289.5295 0 0.0 56.745017305465645 0.0 0.0 0.0
32 231307289.5295 231307291.15002 231307292.77054 0 0.0 56.745017305465645 0.0 0.0 0.0
33 231307292.77054 231307294.39106 231307296.01158 0 0.0 56.745017305465645 0.0 0.0 0.0
34 231307296.01158002 231307297.63210002 231307299.25262 0 0.0 56.745017305465645 0.0 0.0 0.0
35 231307299.25262 231307300.87314 231307302.49366 0 0.0 56.745017305465645 0.0 0.0 0.0
36 231307302.49366 231307304.11418 231307305.7347 0 0.0 56.745017305465645 0.0 0.0 0.0
37 231307305.7347 231307307.35522 231307308.97574 0 0.0 56.745017305465645 0.0 0.0 0.0
38 231307308.97574002 231307310.59626 231307312.21678 0 0.0 56.745017305465645 0.0 0.0 0.0
39 231307312.21678 231307313.8373 231307315.45782 0 0.0 56.745017305465645 0.0 0.0 0.0
40 231307315.45782 231307317.07834 231307318.69886 0 0.0 56.745017305465645 0.0 0.0 0.0
41 231307318.69886002 231307320.31938002 231307321.9399 0 0.0 56.745017305465645 0.0 0.0 0.0
42 231307321.9399 231307323.56042 231307325.18094 0 0.0 56.745017305465645 0.0 0.0 0.0
43 231307325.18094 231307326.80146 231307328.42198 0 0.0 56.745017305465645 0.0 0.0 0.0
44 231307328.42198 231307330.0425 231307331.66301998 0 0.0 56.745017305465645 0.0 0.0 0.0
45 231307331.66302 231307333.28354 231307334.90406 0 0.0 56.745017305465645 0.0 0.0 0.0
46 231307334.90406 231307336.52458 231307338.1451 0 0.0 56.745017305465645 0.0 0.0 0.0
47 231307338.1451 231307339.76562 231307341.38614 0 0.0 56.745017305465645 0.0 0.0 0.0
48 231307341.38614002 231307343.00666 231307344.62718 0 0.0 56.745017305465645 0.0 0.0 0.0
49 231307344.62718 231307346.2477 231307347.86822 0 0.0 56.745017305465645 0.0 0.0 0.0
50 231307347.86822 231307349.48874 231307351.10926 0 0.0 56.745017305465645 0.0 0.0 0.0
51 231307351.10926 231307352.72978 231307354.35029998 0 0.0 56.745017305465645 0.0 0.0 0.0
52 231307354.3503 231307355.97082 231307357.59134 0 0.0 56.745017305465645 0.0 0.0 0.0
53 231307357.59134 231307359.21186 231307360.83238 0 0.0 56.745017305465645 0.0 0.0 0.0
54 231307360.83238 231307362.4529 231307364.07342 0 0.0 56.745017305465645 0.0 0.0 0.0
55 231307364.07342002 231307365.69394 231307367.31446 0 0.0 56.745017305465645 0.0 0.0 0.0
56 231307367.31446 231307368.93498 231307370.5555 0 0.0 56.745017305465645 0.0 0.0 0.0
57 231307370.5555 231307372.17602 231307373.79654 0 0.0 56.745017305465645 0.0 0.0 0.0
58 231307373.79654 231307375.41706 231307377.03757998 0 0.0 56.745017305465645 0.0 0.0 0.0
59 231307377.03758 231307378.6581 231307380.27862 0 0.0 56.745017305465645 0.0 0.0 0.0
60 231307380.27862 231307381.89914 231307383.51966 0 0.0 56.745017305465645 0.0 0.0 0.0
61 231307383.51966 231307385.14018 231307386.7607 0 0.0 56.745017305465645 0.0 0.0 0.0
62 231307386.76070002 231307388.38122 231307390.00174 0 0.0 56.745017305465645 0.0 0.0 0.0
63 231307390.00174 231307391.62226 231307393.24278 0 0.0 56.745017305465645 0.0 0.0 0.0
64 231307393.24278 231307394.8633 231307396.48382 0 0.0 56.745017305465645 0.0 0.0 0.0
65 231307396.48382002 231307398.10434002 231307399.72486 0 0.0 56.745017305465645 0.0 0.0 0.0
66 231307399.72486 231307401.34538 231307402.9659 0 0.0 56.745017305465645 0.0 0.0 0.0
67 231307402.9659 231307404.58642 231307406.20694 0 0.0 56.745017305465645 0.0 0.0 0.0
68 231307406.20694 231307407.82746 231307409.44798 0 0.0 56.745017305465645 0.0 0.0 0.0
69 231307409.44798002 231307411.0685 231307412.68902 0 0.0 56.745017305465645 0.0 0.0 0.0
70 231307412.68902 231307414.30954 231307415.93006 0 0.0 56.745017305465645 0.0 0.0 0.0
71 231307415.93006 231307417.55058 231307419.1711 0 0.0 56.745017305465645 0.0 0.0 0.0
72 231307419.17110002 231307420.79162002 231307422.41214 0 0.0 56.745017305465645 0.0 0.0 0.0
73 231307422.41214 231307424.03266 231307425.65318 0 0.0 56.745017305465645 0.0 0.0 0.0
74 231307425.65318 231307427.2737 231307428.89422 0 0.0 56.745017305465645 0.0 0.0 0.0
75 231307428.89422 231307430.51474 231307432.13526 0 0.0 56.745017305465645 0.0 0.0 0.0
76 231307432.13526002 231307433.75578 231307435.3763 0 0.0 56.745017305465645 0.0 0.0 0.0
77 231307435.3763 231307436.99682 231307438.61734 0 0.0 56.745017305465645 0.0 0.0 0.0
78 231307438.61734 231307440.23786 231307441.85838 0 0.0 56.745017305465645 0.0 0.0 0.0
79 231307441.85838002 231307443.47890002 231307445.09942 0 0.0 56.745017305465645 0.0 0.0 0.0
80 231307445.09942 231307446.71994 231307448.34046 0 0.0 56.745017305465645 0.0 0.0 0.0
81 231307448.34046 231307449.96098 231307451.5815 0 0.0 56.745017305465645 0.0 0.0 0.0
82 231307451.5815 231307453.20202 231307454.82254 0 0.0 56.745017305465645 0.0 0.0 0.0
83 231307454.82254001 231307456.44306 231307458.06358 0 0.0 56.745017305465645 0.0 0.0 0.0
84 231307458.06358 231307459.6841 231307461.30462 0 0.0 56.745017305465645 0.0 0.0 0.0
85 231307461.30462 231307462.92514 231307464.54566 0 0.0 56.745017305465645 0.0 0.0 0.0
86 231307464.54566002 231307466.16618 231307467.7867 0 0.0 56.745017305465645 0.0 0.0 0.0
87 231307467.7867 231307469.40722 231307471.02774 0 0.0 56.745017305465645 0.0 0.0 0.0
88 231307471.02774 231307472.64826 231307474.26878 0 0.0 56.745017305465645 0.0 0.0 0.0
89 231307474.26878 231307475.8893 231307477.50981998 0 0.0 56.745017305465645 0.0 0.0 0.0
90 231307477.50982 231307479.13034 231307480.75086 0 0.0 56.745017305465645 0.0 0.0 0.0
91 231307480.75086 231307482.37138 231307483.9919 0 0.0 56.745017305465645 0.0 0.0 0.0
92 231307483.9919 231307485.61242 231307487.23294 0 0.0 56.745017305465645 0.0 0.0 0.0
93 231307487.23294002 231307488.85346 231307490.47398 0 0.0 56.745017305465645 0.0 0.0 0.0
94 231307490.47398 231307492.0945 231307493.71502 0 0.0 56.745017305465645 0.0 0.0 0.0
95 231307493.71502 231307495.33554 231307496.95606 0 0.0 56.745017305465645 0.0 0.0 0.0
96 231307496.95606 231307498.57658 231307500.19709998 0 0.0 56.745017305465645 0.0 0.0 0.0
97 231307500.1971 231307501.81762 231307503.43814 0 0.0 56.745017305465645 0.0 0.0 0.0
98 231307503.43814 231307505.05866 231307506.67918 0 0.0 56.745017305465645 0.0 0.0 0.0
99 231307506.67918 231307508.2997 231307509.92022 0 0.0 56.745017305465645 0.0 0.0 0.0
100 231307509.92022002 231307511.54074 231307513.16126 0 0.0 56.745017305465645 0.0 0.0 0.0
101 231307513.16126 231307514.78178 231307516.4023 0 0.0 56.745017305465645 0.0 0.0 0.0
102 231307516.4023 231307518.02282 231307519.64334 0 0.0 56.745017305465645 0.0 0.0 0.0
103 231307519.64334002 231307521.26386002 231307522.88438 0 0.0 56.745017305465645 0.0 0.0 0.0
104 231307522.88438 231307524.5049 231307526.12542 0 0.0 56.745017305465645 0.0 0.0 0.0
105 231307526.12542 231307527.74594 231307529.36646 0 0.0 56.745017305465645 0.0 0.0 0.0
106 231307529.36646 231307530.98698 231307532.6075 0 0.0 56.745017305465645 0.0 0.0 0.0
107 231307532.60750002 231307534.22802 231307535.84854 0 0.0 56.745017305465645 0.0 0.0 0.0
108 231307535.84854 231307537.46906 231307539.08958 0 0.0 56.745017305465645 0.0 0.0 0.0
109 231307539.08958 231307540.7101 231307542.33062 0 0.0 56.745017305465645 0.0 0.0 0.0
110 231307542.33062002 231307543.95114002 231307545.57166 0 0.0 56.745017305465645 0.0 0.0 0.0
111 231307545.57166 231307547.19218 231307548.8127 0 0.0 56.745017305465645 0.0 0.0 0.0
112 231307548.8127 231307550.43322 231307552.05374 0 0.0 56.745017305465645 0.0 0.0 0.0
113 231307552.05374 231307553.67426 231307555.29478 0 0.0 56.745017305465645 0.0 0.0 0.0
114 231307555.29478002 231307556.9153 231307558.53582 0 0.0 56.745017305465645 0.0 0.0 0.0
115 231307558.53582 231307560.15634 231307561.77686 0 0.0 56.745017305465645 0.0 0.0 0.0
116 231307561.77686 231307563.39738 231307565.0179 0 0.0 56.745017305465645 0.0 0.0 0.0
117 231307565.01790002 231307566.63842002 231307568.25894 0 0.0 56.745017305465645 0.0 0.0 0.0
118 231307568.25894 231307569.87946 231307571.49998 0 0.0 56.745017305465645 0.0 0.0 0.0
119 231307571.49998 231307573.1205 231307574.74102 0 0.0 56.745017305465645 0.0 0.0 0.0
120 231307574.74102 231307576.36154 231307577.98206 0 0.0 56.745017305465645 0.0 0.0 0.0
121 231307577.98206002 231307579.60258 231307581.2231 0 0.0 56.745017305465645 0.0 0.0 0.0
122 231307581.2231 231307582.84362 231307584.46414 0 0.0 56.745017305465645 0.0 0.0 0.0
123 231307584.46414 231307586.08466 231307587.70518 0 0.0 56.745017305465645 0.0 0.0 0.0
124 231307587.70518002 231307589.3257 231307590.94622 0 0.0 56.745017305465645 0.0 0.0 0.0
125 231307590.94622 231307592.56674 231307594.18726 0 0.0 56.745017305465645 0.0 0.0 0.0
126 231307594.18726 231307595.80778 231307597.4283 0 0.0 56.745017305465645 0.0 0.0 0.0
127 231307597.4283 231307599.04882 231307600.66933998 0 0.0 56.745017305465645 0.0 0.0 0.0
